LebwohlLasher3.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.281, Time: 0.630327 s
         4278894 function calls (4091684 primitive calls) in 1.965 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      135    0.000    0.000    0.036    0.000 postproc.py:42(usedefs)
      622    0.001    0.000    0.035    0.000 values.py:1141(<listcomp>)
      261    0.001    0.000    0.035    0.000 _compiler.py:738(compile)
        2    0.000    0.000    0.034    0.017 collections.py:1(<module>)
      213    0.000    0.000    0.034    0.000 artist.py:1426(__init__)
     7488    0.003    0.000    0.034    0.000 ffi.py:74(__exit__)
      213    0.005    0.000    0.034    0.000 artist.py:1446(get_aliases)
        2    0.000    0.000    0.033    0.017 dispatcher.py:281(_compilation_chain_init_hook)
      302    0.000    0.000    0.033    0.000 entrypoints.py:23(init_all)
        1    0.000    0.000    0.033    0.033 __init__.py:1020(entry_points)
        1    0.000    0.000    0.033    0.033 __init__.py:473(load)
      370    0.000    0.000    0.033    0.000 __init__.py:1037(<genexpr>)
     8633    0.005    0.000    0.032    0.000 event.py:404(end_event)
     6026    0.005    0.000    0.032    0.000 values.py:544(_to_string)
        1    0.000    0.000    0.032    0.032 _sketches.py:1(<module>)
     1114    0.004    0.000    0.032    0.000 <frozen importlib._bootstrap_external>:1604(find_spec)
       15    0.001    0.000    0.032    0.002 byteflow.py:80(run)
      245    0.000    0.000    0.031    0.000 templates.py:1044(__init__)
      259    0.001    0.000    0.031    0.000 templates.py:900(_get_target_registry)
        2    0.000    0.000    0.031    0.015 _base.py:1(<module>)
        1    0.000    0.000    0.030    0.030 colors.py:1(<module>)
      238    0.000    0.000    0.030    0.000 templates.py:1090(_init_once)
     7485    0.002    0.000    0.030    0.000 base.py:1246(exit_fn)
    32894    0.013    0.000    0.029    0.000 event.py:243(notify)
        1    0.000    0.000    0.028    0.028 charseq.py:1(<module>)
     7488    0.003    0.000    0.028    0.000 ffi.py:68(__enter__)
        1    0.000    0.000    0.027    0.027 patches.py:1(<module>)
        2    0.000    0.000    0.026    0.013 builtins.py:1(<module>)
        2    0.000    0.000    0.026    0.013 functions.py:389(get_call_type)
        2    0.000    0.000    0.026    0.013 templates.py:1131(generic)
        3    0.000    0.000    0.026    0.009 templates.py:1073(_get_signature)
        2    0.000    0.000    0.026    0.013 unicode.py:1(<module>)
     8633    0.005    0.000    0.026    0.000 event.py:390(start_event)
       15    0.000    0.000    0.026    0.002 typed_passes.py:224(run_pass)
     6520    0.001    0.000    0.025    0.000 ir.py:598(list_vars)
        1    0.000    0.000    0.025    0.025 special.py:1(<module>)
        1    0.000    0.000    0.025    0.025 axes3d.py:1(<module>)
     7485    0.002    0.000    0.024    0.000 base.py:1243(enter_fn)
        1    0.000    0.000    0.024    0.024 cpu.py:1(<module>)
     1303    0.004    0.000    0.024    0.000 errors.py:301(_markup)
        4    0.000    0.000    0.023    0.006 context.py:1(<module>)
       15    0.000    0.000    0.023    0.002 untyped_passes.py:192(run_pass)
      570    0.001    0.000    0.023    0.000 errors.py:508(__init__)
      369    0.000    0.000    0.023    0.000 __init__.py:634(entry_points)
151349/151195    0.015    0.000    0.023    0.000 {built-in method builtins.getattr}
      114    0.000    0.000    0.023    0.000 __init__.py:225(compile)
        3    0.001    0.000    0.023    0.008 core.py:1(<module>)
      382    0.001    0.000    0.022    0.000 npydecl.py:201(generic)
      315    0.001    0.000    0.022    0.000 context.py:700(load_additional_registries)
        3    0.000    0.000    0.022    0.007 lowering.py:288(create_cpython_wrapper)
        3    0.000    0.000    0.022    0.007 cpu.py:181(create_cpython_wrapper)
      213    0.007    0.000    0.022    0.000 artist.py:1521(get_setters)
       15    0.000    0.000    0.022    0.001 untyped_passes.py:224(run_pass)
      394    0.002    0.000    0.022    0.000 npydecl.py:97(generic)
5749/5149    0.001    0.000    0.022    0.000 contextlib.py:132(__enter__)
     5304    0.002    0.000    0.021    0.000 __init__.py:173(search)
     1112    0.001    0.000    0.021    0.000 inspect.py:3278(signature)
     1071    0.000    0.000    0.021    0.000 errors.py:316(errmsg)
     2025    0.001    0.000    0.021    0.000 module.py:220(__next__)
        9    0.000    0.000    0.021    0.002 _base.py:734(__init_subclass__)
        1    0.000    0.000    0.020    0.020 hashing.py:1(<module>)
     1112    0.000    0.000    0.020    0.000 inspect.py:3024(from_callable)
      584    0.001    0.000    0.020    0.000 context.py:374(resolve_value_type)
        1    0.000    0.000    0.020    0.020 _fontconfig_pattern.py:1(<module>)
1185/1119    0.003    0.000    0.020    0.000 inspect.py:2428(_signature_from_callable)
      369    0.001    0.000    0.019    0.000 __init__.py:930(read_text)
       40    0.000    0.000    0.019    0.000 codegen.py:719(add_linking_library)
       30    0.005    0.000    0.019    0.001 __init__.py:835(_rc_params_in_file)
      261    0.000    0.000    0.019    0.000 _parser.py:972(parse)
       50    0.000    0.000    0.019    0.000 decorators.py:211(wrapper)
     2977    0.001    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
        1    0.000    0.000    0.018    0.018 randomimpl.py:1(<module>)
       64    0.000    0.000    0.018    0.000 byteflow.py:1737(get_outgoing_states)
       50    0.000    0.000    0.018    0.000 dispatcher.py:807(__init__)
        1    0.000    0.000    0.018    0.018 callconv.py:1(<module>)
     8007    0.004    0.000    0.018    0.000 values.py:537(__init__)
       66    0.018    0.000    0.018    0.000 byteflow.py:1746(<listcomp>)
     3015    0.018    0.000    0.018    0.000 {built-in method posix.stat}
      108    0.001    0.000    0.018    0.000 module.py:11(parse_assembly)
  592/261    0.001    0.000    0.018    0.000 _parser.py:449(_parse_sub)
       15    0.000    0.000    0.018    0.001 untyped_passes.py:1711(run_pass)
      298    0.000    0.000    0.018    0.000 passmanagers.py:742(run)
      596    0.001    0.000    0.018    0.000 typeof.py:27(typeof)
      238    0.012    0.000    0.018    0.000 extending.py:207(decorate)
      369    0.000    0.000    0.017    0.000 pathlib.py:1053(read_text)
     5755    0.004    0.000    0.017    0.000 instructions.py:13(__init__)
  697/272    0.007    0.000    0.017    0.000 _parser.py:509(_parse)
        1    0.000    0.000    0.017    0.017 ir_utils.py:1(<module>)
